Field,ID,Type (Type),default,en-us,zh-hans-cn,zh-hant-tw,zh,zh-cn,zh-hk,zh-mo,zh-hans,zh-hans-sg,zh-sg,zh-tw,zh-hant,zh-hant-hk,zh-hant-mo
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700026329873/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190062/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190074/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190079/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190081/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190083/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190085/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190087/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190119/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190091/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190093/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190095/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190118/listingassets/3017217055927925179,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190097/listingassets/3017217055927925179
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700026329873/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190062/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190074/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190079/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190081/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190083/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190085/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190087/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190119/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190091/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190093/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190095/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190118/listingassets/3064866537110905739,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190097/listingassets/3064866537110905739
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700026329873/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190062/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190074/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190079/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190081/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190083/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190085/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190087/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190119/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190091/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190093/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190095/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190118/listingassets/3017203682193279853,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190097/listingassets/3017203682193279853
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700026329873/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190062/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190074/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190079/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190081/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190083/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190085/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190087/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190119/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190091/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190093/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190095/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190118/listingassets/3070601838949115588,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190097/listingassets/3070601838949115588
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700026329873/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190062/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190074/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190079/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190081/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190083/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190085/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190087/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190119/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190091/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190093/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190095/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190118/listingassets/3036123883107245719,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190097/listingassets/3036123883107245719
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700026329873/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190062/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190074/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190079/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190081/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190083/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190085/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190087/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190119/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190091/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190093/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190095/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190118/listingassets/3069756320113552350,https://developer.microsoft.com/en-us/dashboard/apps/9PLCJGQ3C654/submissions/1152921505701773532/listings/1152922700027190097/listingassets/3069756320113552350
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot24,123,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot25,124,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot26,125,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot27,126,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot28,127,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot29,128,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshot30,129,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
DesktopScreenshotCaption1,150,Text,,"Structural tree view — tables, arrays & scalars in TOML","结构化树状视图——TOML 的表、数组和标量","結構化樹狀檢視——TOML 的表格、陣列與純量","结构化树状视图——TOML 的表、数组和标量","结构化树状视图——TOML 的表、数组和标量","結構化樹狀檢視——TOML 的表格、陣列與純量","結構化樹狀檢視——TOML 的表格、陣列與純量","结构化树状视图——TOML 的表、数组和标量","结构化树状视图——TOML 的表、数组和标量","结构化树状视图——TOML 的表、数组和标量","結構化樹狀檢視——TOML 的表格、陣列與純量","結構化樹狀檢視——TOML 的表格、陣列與純量","結構化樹狀檢視——TOML 的表格、陣列與純量","結構化樹狀檢視——TOML 的表格、陣列與純量"
DesktopScreenshotCaption2,151,Text,,Fuzzy search & filter — narrow the tree by key or value,"模糊搜索和筛选——按键或值快速缩小树状范围","模糊搜尋與篩選——依索引鍵或值快速縮小樹狀範圍","模糊搜索和筛选——按键或值快速缩小树状范围","模糊搜索和筛选——按键或值快速缩小树状范围","模糊搜尋與篩選——依索引鍵或值快速縮小樹狀範圍","模糊搜尋與篩選——依索引鍵或值快速縮小樹狀範圍","模糊搜索和筛选——按键或值快速缩小树状范围","模糊搜索和筛选——按键或值快速缩小树状范围","模糊搜索和筛选——按键或值快速缩小树状范围","模糊搜尋與篩選——依索引鍵或值快速縮小樹狀範圍","模糊搜尋與篩選——依索引鍵或值快速縮小樹狀範圍","模糊搜尋與篩選——依索引鍵或值快速縮小樹狀範圍","模糊搜尋與篩選——依索引鍵或值快速縮小樹狀範圍"
DesktopScreenshotCaption3,152,Text,,Inline-edit any node's value with its full breadcrumb path,"就地编辑任何节点的值，并显示完整的面包屑路径","就地編輯任何節點的值，並顯示完整的麵包屑路徑","就地编辑任何节点的值，并显示完整的面包屑路径","就地编辑任何节点的值，并显示完整的面包屑路径","就地編輯任何節點的值，並顯示完整的麵包屑路徑","就地編輯任何節點的值，並顯示完整的麵包屑路徑","就地编辑任何节点的值，并显示完整的面包屑路径","就地编辑任何节点的值，并显示完整的面包屑路径","就地编辑任何节点的值，并显示完整的面包屑路径","就地編輯任何節點的值，並顯示完整的麵包屑路徑","就地編輯任何節點的值，並顯示完整的麵包屑路徑","就地編輯任何節點的值，並顯示完整的麵包屑路徑","就地編輯任何節點的值，並顯示完整的麵包屑路徑"
DesktopScreenshotCaption4,153,Text,,One editor for TOML/JSON/YAML — convert between formats,"一套编辑器支持 TOML/JSON/YAML——并可在格式间相互转换","一套編輯器支援 TOML/JSON/YAML——並可在格式間相互轉換","一套编辑器支持 TOML/JSON/YAML——并可在格式间相互转换","一套编辑器支持 TOML/JSON/YAML——并可在格式间相互转换","一套編輯器支援 TOML/JSON/YAML——並可在格式間相互轉換","一套編輯器支援 TOML/JSON/YAML——並可在格式間相互轉換","一套编辑器支持 TOML/JSON/YAML——并可在格式间相互转换","一套编辑器支持 TOML/JSON/YAML——并可在格式间相互转换","一套编辑器支持 TOML/JSON/YAML——并可在格式间相互转换","一套編輯器支援 TOML/JSON/YAML——並可在格式間相互轉換","一套編輯器支援 TOML/JSON/YAML——並可在格式間相互轉換","一套編輯器支援 TOML/JSON/YAML——並可在格式間相互轉換","一套編輯器支援 TOML/JSON/YAML——並可在格式間相互轉換"
DesktopScreenshotCaption5,154,Text,,"JSON Schema awareness — live, non-blocking violation flags","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作"
DesktopScreenshotCaption6,155,Text,,"Terminal TUI included — run ""confy file.toml"" in any shell","内置终端 TUI——在任何 shell 运行 ""confy file.toml""","內建終端機 TUI——在任何 shell 執行 ""confy file.toml""","内置终端 TUI——在任何 shell 运行 ""confy file.toml""","内置终端 TUI——在任何 shell 运行 ""confy file.toml""","內建終端機 TUI——在任何 shell 執行 ""confy file.toml""","內建終端機 TUI——在任何 shell 執行 ""confy file.toml""","内置终端 TUI——在任何 shell 运行 ""confy file.toml""","内置终端 TUI——在任何 shell 运行 ""confy file.toml""","内置终端 TUI——在任何 shell 运行 ""confy file.toml""","內建終端機 TUI——在任何 shell 執行 ""confy file.toml""","內建終端機 TUI——在任何 shell 執行 ""confy file.toml""","內建終端機 TUI——在任何 shell 執行 ""confy file.toml""","內建終端機 TUI——在任何 shell 執行 ""confy file.toml"""
DesktopScreenshotCaption7,156,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption8,157,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption9,158,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption10,159,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption11,160,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption12,161,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption13,162,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption14,163,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption15,164,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption16,165,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption17,166,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption18,167,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption19,168,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption20,169,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption21,170,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption22,171,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption23,172,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption24,173,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption25,174,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption26,175,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption27,176,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption28,177,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption29,178,Text,,,,,,,,,,,,,,,
DesktopScreenshotCaption30,179,Text,,,,,,,,,,,,,,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot11,210,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot12,211,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot13,212,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot14,213,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot15,214,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot16,215,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot17,216,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot18,217,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot19,218,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot20,219,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot21,220,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot22,221,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot23,222,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot24,223,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot25,224,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot26,225,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot27,226,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot28,227,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot29,228,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshot30,229,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
MobileScreenshotCaption1,250,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption2,251,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption3,252,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption4,253,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption5,254,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption6,255,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption7,256,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption8,257,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption9,258,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption10,259,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption11,260,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption12,261,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption13,262,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption14,263,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption15,264,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption16,265,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption17,266,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption18,267,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption19,268,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption20,269,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption21,270,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption22,271,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption23,272,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption24,273,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption25,274,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption26,275,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption27,276,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption28,277,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption29,278,Text,,,,,,,,,,,,,,,
MobileScreenshotCaption30,279,Text,,,,,,,,,,,,,,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot11,310,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot12,311,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot13,312,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot14,313,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot15,314,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot16,315,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot17,316,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot18,317,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot19,318,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot20,319,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot21,320,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot22,321,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
